집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20100301,176,0,2,0,0,2583,171,185,0,0,76,3015
20100301,176,1,1,0,0,5070,290,152,241,120,269,6142
20100301,176,1,2,0,0,3788,161,251,0,0,103,4303
20100301,177,0,1,0,0,5393,267,266,150,54,163,6293
20100301,177,0,2,0,0,3810,72,176,1,0,86,4145
20100301,177,1,1,0,0,5157,290,252,171,40,267,6177
20100301,177,1,2,0,0,3247,74,126,0,0,70,3517
20100301,178,0,1,0,0,2751,191,84,68,82,74,3250
20100301,178,0,2,0,0,1553,66,125,0,0,50,1794
20100301,178,1,1,0,0,6167,253,236,80,102,238,7076
20100301,178,1,2,0,0,3681,72,273,0,0,71,4097
20100301,179,0,1,0,0,3159,80,27,9,105,120,3500
20100301,179,0,2,0,0,1684,24,122,0,0,47,1877
20100301,179,1,1,0,0,2756,82,34,28,113,166,3179
20100301,179,1,2,0,0,1427,23,133,0,0,42,1625
20100301,180,0,1,0,0,2267,124,51,55,38,93,2628
20100301,180,0,2,0,0,1255,32,95,0,0,26,1408
20100301,180,1,1,0,0,2616,110,72,45,57,155,3055
20100301,180,1,2,0,0,1389,20,95,0,0,35,1539
20100301,181,0,1,0,0,2151,83,36,18,13,60,2361
20100301,181,0,2,0,0,1379,15,78,0,0,24,1496
20100301,181,1,1,0,0,2389,65,24,7,22,99,2606
20100301,181,1,2,0,0,1499,16,159,0,0,29,1703
20100301,182,0,1,0,0,2185,45,23,7,6,54,2320
20100301,182,0,2,0,0,1697,19,92,0,0,27,1835
20100301,182,1,1,0,0,840,35,15,8,4,45,947
20100301,182,1,2,0,0,527,11,47,0,0,16,601
20100301,183,0,1,0,0,2560,18,13,9,8,49,2657
20100301,183,0,2,0,0,2017,3,141,0,0,27,2188
20100301,183,1,1,0,0,993,17,18,6,6,40,1080
20100301,183,1,2,0,0,679,5,15,0,0,7,706
20100301,184,0,1,0,0,3550,57,30,10,22,78,3747
20100301,184,0,2,0,0,2859,29,355,1,7,41,3292
20100301,184,1,1,0,0,1649,46,24,8,5,72,1804
20100301,184,1,2,0,0,1062,20,116,1,0,28,1227
20100301,185,0,1,0,0,1309,42,23,7,22,46,1449
20100301,185,0,2,0,0,801,8,149,1,0,22,981
20100301,185,1,1,0,0,1478,52,29,10,25,44,1638
20100301,185,1,2,0,0,1026,13,197,0,0,22,1258
20100301,186,0,1,0,0,321,19,7,6,4,4,361
20100301,186,0,2,0,0,225,0,5,0,0,4,234
20100301,186,1,1,0,0,206,14,3,8,3,6,240
20100301,186,1,2,0,0,164,0,46,1,4,2,217
20100301,187,0,1,0,0,1516,54,22,12,5,47,1656
20100301,187,0,2,0,0,1189,14,155,0,1,20,1379
20100301,187,1,1,0,0,669,36,20,6,5,44,780
20100301,187,1,2,0,0,524,11,111,1,0,10,657
20100301,189,0,1,0,0,5407,114,38,28,46,173,5806
20100301,189,0,2,0,0,2879,39,169,0,0,58,3145
20100301,189,1,1,0,0,6717,154,49,91,34,370,7415
20100301,189,1,2,0,0,2847,52,549,0,0,54,3502
20100301,190,0,1,0,0,28329,1358,726,595,308,862,32178
20100301,190,0,2,0,0,21255,476,1827,0,0,459,24017
20100301,190,1,1,0,0,40107,1332,729,554,315,1727,44764
20100301,190,1,2,0,0,26460,442,1427,0,0,532,28861
20100301,191,0,1,0,0,3718,228,86,99,26,132,4289
20100301,191,0,2,0,0,3715,80,222,0,1,130,4148
20100301,191,1,1,0,0,5494,266,105,111,37,303,6316
20100301,191,1,2,0,0,5033,84,236,0,0,144,5497
20100301,192,0,1,0,0,5642,426,214,200,89,169,6740
20100301,192,0,2,0,0,4614,160,158,0,0,114,5046
20100301,192,1,1,0,0,5613,403,185,157,106,321,6785
20100301,192,1,2,0,0,4439,137,104,0,0,116,4796
20100301,193,0,1,0,0,3878,273,189,153,98,116,4707
20100301,193,0,2,0,0,2446,91,159,2,0,48,2746
20100301,193,1,1,0,0,3746,256,171,138,115,197,4623
20100301,193,1,2,0,0,2396,105,114,0,0,41,2656
20100301,194,0,1,0,0,3568,289,108,95,32,85,4177
20100301,194,0,2,0,0,2697,158,173,0,0,64,3092
20100301,194,1,1,0,0,3358,324,136,127,25,177,4147
20100301,194,1,2,0,0,2271,198,142,0,0,62,2673
20100301,195,0,1,0,0,2771,264,166,159,109,88,3557
20100301,195,0,2,0,0,1822,208,98,0,0,44,2172
20100301,195,1,1,0,0,2778,259,161,161,98,146,3603
20100301,195,1,2,0,0,1713,161,92,0,0,37,2003
20100301,196,0,1,0,0,1600,93,102,85,56,45,1981
20100301,196,0,2,0,0,970,27,52,2,2,22,1075
20100301,196,1,1,0,0,1509,87,121,85,56,75,1933
20100301,196,1,2,0,0,860,28,37,0,0,17,942
20100301,197,0,1,0,0,4452,163,89,70,200,141,5115
20100301,197,0,2,0,0,2203,50,133,0,0,48,2434
20100301,197,1,1,0,0,3438,146,71,65,148,190,4058
20100301,197,1,2,0,0,1598,58,79,0,0,34,1769
20100301,198,0,1,0,0,16494,374,6118,8473,8806,533,40798
20100301,198,0,2,0,0,3898,131,207,0,0,90,4326
20100301,198,1,1,0,0,7137,262,134,156,103,336,8128
20100301,198,1,2,0,0,3967,141,234,0,0,103,4445
20100301,199,0,1,0,0,3942,146,94,90,87,147,4506
20100301,199,0,2,0,0,2504,67,95,0,0,66,2732
20100301,199,1,1,0,0,4089,152,83,54,121,228,4727
20100301,199,1,2,0,0,2554,44,127,0,0,59,2784
20100301,200,0,1,0,0,1341,32,27,72,80,43,1595
20100301,200,0,2,0,0,723,7,51,0,0,18,799
20100301,200,1,1,0,0,1257,43,27,67,79,62,1535
20100301,200,1,2,0,0,636,11,49,0,0,14,710
20100301,201,0,1,0,0,5028,219,61,70,78,225,5681
20100301,201,0,2,0,0,3506,88,44,0,0,89,3727
20100301,201,1,1,0,0,4918,164,81,55,80,301,5599
20100301,201,1,2,0,0,3283,74,154,0,0,92,3603
20100301,202,0,1,0,0,822,52,20,11,54,31,990
20100301,202,0,2,0,0,656,30,6,0,0,11,703
20100301,202,1,1,0,0,983,44,16,12,94,45,1194
20100301,202,1,2,0,0,628,27,19,0,0,7,681
20100301,203,0,1,0,0,4139,161,65,69,127,173,4734
20100301,203,0,2,0,0,2500,58,62,0,0,64,2684
20100301,203,1,1,0,0,4703,162,58,85,120,269,5397
20100301,203,1,2,0,0,2839,48,57,0,0,66,3010
20100301,204,0,1,0,0,2016,43,14,8,24,65,2170
20100301,204,0,2,0,0,943,23,85,0,0,26,1077
